episode_num,steps,score,total_rewards,avg_rewards
0,99,0,8.799999999999981,8.799999999999981
1,198,0,8.799999999999981,8.799999999999981
2,297,0,8.799999999999981,8.799999999999981
3,396,0,8.799999999999981,8.799999999999981
4,505,0,9.799999999999978,9.799999999999978
5,619,0,10.299999999999976,10.299999999999976
6,664,0,3.4000000000000004,3.4000000000000004
7,770,0,9.499999999999979,9.499999999999979
8,941,1,15.999999999999972,15.999999999999972
9,1064,1,11.199999999999973,11.199999999999973
10,1195,1,11.99999999999997,11.99999999999997
11,1366,1,15.999999999999972,15.999999999999972
12,1465,0,8.799999999999981,8.799999999999981
13,1564,0,8.799999999999981,8.799999999999981
14,1698,1,12.299999999999969,12.299999999999969
15,1806,0,9.699999999999978,9.699999999999978
16,1905,0,8.799999999999981,8.799999999999981
17,2029,1,11.299999999999972,11.299999999999972
18,2159,1,11.89999999999997,11.89999999999997
19,2258,0,8.799999999999981,8.799999999999981
20,2375,0,10.599999999999975,10.599999999999975
21,2481,0,9.499999999999979,9.499999999999979
22,2609,1,11.69999999999997,11.69999999999997
23,2708,0,8.799999999999981,8.799999999999981
24,2807,0,8.799999999999981,8.799999999999981
25,2919,0,10.099999999999977,10.099999999999977
26,3018,0,8.799999999999981,8.799999999999981
27,3827,17,79.79999999999968,79.79999999999968
28,4639,17,80.09999999999967,80.09999999999967
29,5526,24,87.59999999999924,87.59999999999924
30,5923,4,38.60000000000029,38.60000000000029
31,6320,4,38.60000000000029,38.60000000000029
32,6758,5,42.70000000000035,42.70000000000035
33,7097,3,32.80000000000021,32.80000000000021
34,7340,2,23.200000000000074,23.200000000000074
35,8187,18,83.59999999999947,83.59999999999947
36,8618,5,42.00000000000034,42.00000000000034
37,8861,2,23.200000000000074,23.200000000000074
38,9130,3,25.80000000000011,25.80000000000011
39,9495,4,35.40000000000025,35.40000000000025
40,9909,4,40.30000000000032,40.30000000000032
41,10336,5,41.600000000000335,41.600000000000335
42,10621,3,27.400000000000134,27.400000000000134
43,11466,18,83.39999999999948,83.39999999999948
44,12311,18,83.39999999999948,83.39999999999948
45,13198,24,87.59999999999924,87.59999999999924
46,14077,24,86.79999999999929,86.79999999999929
47,14959,24,87.09999999999927,87.09999999999927
48,15705,11,73.50000000000004,73.50000000000004
49,16720,28,100.39999999999851,100.39999999999851
50,17689,32,95.79999999999878,95.79999999999878
51,18317,8,61.70000000000062,61.70000000000062
52,19311,23,98.29999999999863,98.29999999999863
53,20292,33,96.9999999999987,96.9999999999987
54,21156,29,85.29999999999937,85.29999999999937
55,21844,9,67.70000000000037,67.70000000000037
56,22863,23,100.79999999999849,100.79999999999849
57,23615,11,74.10000000000001,74.10000000000001
58,24473,14,84.6999999999994,84.6999999999994
59,25206,10,72.20000000000012,72.20000000000012
60,25935,10,71.80000000000014,71.80000000000014
61,26800,19,85.39999999999937,85.39999999999937
62,27901,31,108.99999999999802,108.99999999999802
63,28838,21,92.59999999999896,92.59999999999896
64,29760,20,91.09999999999904,91.09999999999904
65,30489,10,71.80000000000014,71.80000000000014
66,31222,10,72.20000000000012,72.20000000000012
67,32333,32,109.99999999999797,109.99999999999797
68,33543,24,119.8999999999974,119.8999999999974
69,34479,16,92.49999999999896,92.49999999999896
70,35494,28,100.39999999999851,100.39999999999851
71,36509,28,100.39999999999851,100.39999999999851
72,36608,0,8.799999999999981,8.799999999999981
73,36707,0,8.799999999999981,8.799999999999981
74,36806,0,8.799999999999981,8.799999999999981
75,37821,28,100.39999999999851,100.39999999999851
76,38767,26,93.4999999999989,93.4999999999989
77,39787,28,100.89999999999849,100.89999999999849
78,40755,32,95.69999999999878,95.69999999999878
79,41961,23,119.49999999999743,119.49999999999743
80,42982,28,100.99999999999848,100.99999999999848
81,44001,28,100.79999999999849,100.79999999999849
82,44969,22,95.69999999999878,95.69999999999878
83,45987,28,100.6999999999985,100.6999999999985
84,47002,28,100.39999999999851,100.39999999999851
