episode_num,steps,score,total_rewards,avg_rewards
107,87806,33,96.9999999999987,96.9999999999987
108,88827,28,100.99999999999848,100.99999999999848
109,89880,30,104.1999999999983,104.1999999999983
110,90876,33,98.49999999999862,98.49999999999862
111,91844,32,95.69999999999878,95.69999999999878
112,92983,33,112.79999999999781,112.79999999999781
113,93988,34,99.39999999999857,99.39999999999857
114,94940,26,94.09999999999887,94.09999999999887
115,95943,33,99.19999999999858,99.19999999999858
116,96987,35,103.29999999999835,103.29999999999835
117,98133,34,113.49999999999777,113.49999999999777
118,99283,33,113.89999999999775,113.89999999999775
119,100433,33,113.89999999999775,113.89999999999775
120,101454,28,100.99999999999848,100.99999999999848
121,102469,28,100.39999999999851,100.39999999999851
122,103646,34,116.59999999999759,116.59999999999759
123,104578,37,92.09999999999899,92.09999999999899
124,105681,31,109.19999999999801,109.19999999999801
125,106655,32,96.29999999999875,96.29999999999875
126,107747,31,108.09999999999808,108.09999999999808
127,108782,46,102.3999999999984,102.3999999999984
128,109871,31,107.7999999999981,107.7999999999981
129,110918,35,103.59999999999833,103.59999999999833
130,112232,32,130.29999999999683,130.29999999999683
131,113571,33,132.7999999999967,132.7999999999967
132,114514,26,93.19999999999892,93.19999999999892
133,115841,45,131.59999999999675,131.59999999999675
134,116816,32,96.39999999999874,96.39999999999874
135,117791,32,96.39999999999874,96.39999999999874
136,118806,28,100.39999999999851,100.39999999999851
137,120168,34,135.09999999999656,135.09999999999656
138,121368,23,118.89999999999746,118.89999999999746
139,122390,34,101.09999999999847,101.09999999999847
140,123686,32,128.49999999999693,128.49999999999693
141,124836,33,113.89999999999775,113.89999999999775
142,125998,34,115.09999999999768,115.09999999999768
143,127007,34,99.79999999999855,99.79999999999855
144,128390,54,137.19999999999644,137.19999999999644
145,129400,34,99.89999999999854,99.89999999999854
146,130482,37,107.09999999999813,107.09999999999813
147,131503,34,100.99999999999848,100.99999999999848
148,132514,34,99.99999999999854,99.99999999999854
149,133685,22,115.99999999999763,115.99999999999763
150,135100,49,140.39999999999625,140.39999999999625
151,135145,0,3.4000000000000004,3.4000000000000004
152,135188,0,3.200000000000001,3.200000000000001
153,136550,34,135.09999999999656,135.09999999999656
154,137913,47,135.19999999999655,135.19999999999655
155,138012,0,8.799999999999981,8.799999999999981
156,138055,0,3.200000000000001,3.200000000000001
157,139481,49,141.4999999999962,141.4999999999962
158,140719,37,122.69999999999725,122.69999999999725
159,141884,34,115.39999999999766,115.39999999999766
160,143223,33,132.7999999999967,132.7999999999967
161,144382,34,114.7999999999977,114.7999999999977
162,145542,34,114.89999999999769,114.89999999999769
163,146673,32,111.99999999999785,111.99999999999785
164,147863,35,117.89999999999752,117.89999999999752
165,149000,33,112.59999999999782,112.59999999999782
166,150087,31,107.5999999999981,107.5999999999981
167,150293,2,19.50000000000002,19.50000000000002
168,150536,2,23.200000000000074,23.200000000000074
169,150821,3,27.400000000000134,27.400000000000134
170,151064,2,23.200000000000074,23.200000000000074
171,151274,2,19.900000000000027,19.900000000000027
172,151743,5,45.800000000000395,45.800000000000395
173,152472,10,71.80000000000014,71.80000000000014
174,153683,36,119.9999999999974,119.9999999999974
175,153926,2,23.200000000000074,23.200000000000074
176,154097,1,15.999999999999972,15.999999999999972
